Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
Albania,1984,5.33,9,NA,NA,NA,14.33
Albania,1985,6,9,NA,NA,NA,15
Albania,1986,6,9,NA,NA,NA,15
Albania,1987,6,8.42,NA,NA,NA,14.42
Albania,1988,6.25,8,NA,NA,NA,14.25
Albania,1989,6.54,8,NA,NA,NA,14.54
Albania,1990,6.96,8,NA,NA,NA,14.96
Albania,1991,6.75,6.5,NA,NA,NA,13.25
Albania,1992,4.58,5,NA,NA,NA,9.58
Albania,1993,4,5,NA,NA,NA,9
Albania,1994,4.21,5,NA,NA,NA,9.21
Albania,1995,4.5,5.08,NA,NA,NA,9.58
Albania,1996,4.5,6,8.72,7.61,0.75,27.58
Albania,1997,5.29,4.83,5.92,5.33,0,21.37
Albania,1998,8.5,9.04,4,5.88,0.5,27.92
Albania,1999,8.5,9.79,4.46,9.5,1.92,34.17
Albania,2000,7.5,9.46,4.5,9.5,1.5,32.46
Albania,2001,7.17,9.88,4.5,9.5,1.5,32.55
Albania,2002,7.5,10,5.5,9,1.5,33.5
Albania,2003,5.08,9.54,6.5,9.83,2.75,33.7
Albania,2004,4.5,9.29,6.5,10.13,3.13,33.55
Albania,2005,4.5,9.83,7.5,9.83,3.5,35.16
Albania,2006,4.5,9.88,8,9.5,3.5,35.38
Albania,2007,7.71,9.88,9.38,9.96,2.58,39.51
Albania,2008,8.46,9.29,9.5,10.92,2.5,40.67
Albania,2009,6.92,7.96,9.5,10.08,3.08,37.54
Albania,2010,6.88,8.5,9.5,9.71,3.21,37.8
Albania,2011,6.5,9.92,8.83,9.5,3,37.75
Albania,2012,6,9.33,9.33,10.33,2.58,37.57
Albania,2013,5.08,10,7.88,10.04,3.21,36.21
Algeria,1984,5.55,5,6.13,12.04,2.42,31.14
Algeria,1985,6,5,6.38,12,2.71,32.09
Algeria,1986,4.83,5,6.17,11.88,3.33,31.21
Algeria,1987,4.29,5,4.96,10.5,3.13,27.88
Algeria,1988,4.58,4.75,5.58,11,3.29,29.2
Algeria,1989,5.5,4,3.21,11.92,2.5,27.13
Algeria,1990,6.25,4,3.21,11.54,1.42,26.42
Algeria,1991,7.13,4.33,6,13.33,1.08,31.87
Algeria,1992,5.96,6,3.75,12.83,1,29.54
Algeria,1993,4.5,6,3,13.5,0.33,27.33
Algeria,1994,4.46,6,0.71,12,2.04,25.21
Algeria,1995,5.25,6,3.42,11.42,1.79,27.88
Algeria,1996,5.71,6,4.96,11.29,0.54,28.5
Algeria,1997,5.42,7.21,6,11.71,1.38,31.72
Algeria,1998,3.83,10,6.17,13.5,3.17,36.67
Algeria,1999,4.21,8.88,5.5,10.58,2.46,31.63
Algeria,2000,4.71,8.42,4.63,13.46,2,33.22
Algeria,2001,5.38,9.71,6,13.92,4.25,39.26
Algeria,2002,5.5,9.75,6,12.96,4.5,38.71
Algeria,2003,6.08,9.96,7.08,14.5,4.96,42.58
Algeria,2004,6.79,9.79,8.33,15,5,44.91
Algeria,2005,7.92,10,8.83,14.88,5,46.63
Algeria,2006,8.46,10,9,15,5,47.46
Algeria,2007,9.75,10,9,15,5,48.75
Algeria,2008,10,9.92,9.08,15,5,49
Algeria,2009,10,8.54,10,13.75,5,47.29
Algeria,2010,10,10,10,12.58,5,47.58
Algeria,2011,10,10,10,13.75,5,48.75
Algeria,2012,10,9.54,10,14.08,5,48.62
Algeria,2013,10,9.88,10,13.67,5,48.55
Angola,1984,4,4,NA,NA,NA,8
Angola,1985,4,4,NA,NA,NA,8
Angola,1986,2.83,4,NA,NA,NA,6.83
Angola,1987,2.75,4,NA,NA,NA,6.75
Angola,1988,3,3.92,NA,NA,NA,6.92
Angola,1989,3.08,4,NA,NA,NA,7.08
Angola,1990,3,4,NA,NA,NA,7
Angola,1991,3,4,NA,NA,NA,7
Angola,1992,3.46,3,NA,NA,NA,6.46
Angola,1993,2.79,3,NA,NA,NA,5.79
Angola,1994,2,3,NA,NA,NA,5
Angola,1995,2.38,3,NA,NA,NA,5.38
Angola,1996,2.71,3.42,8.61,10.33,0,25.07
Angola,1997,2.17,5.08,7.79,9.13,0,24.17
Angola,1998,0.63,6.92,7.88,10.88,0.25,26.56
Angola,1999,1,5,7.5,10.04,0.08,23.62
Angola,2000,1.13,4.83,8,10.17,0,24.13
Angola,2001,1,0.96,9,12.33,1.25,24.54
Angola,2002,1,0.75,9,10.13,1.5,22.38
Angola,2003,2,2.08,8.5,11.5,1.13,25.21
Angola,2004,3.63,8.79,7,11.5,1.5,32.42
Angola,2005,4,9.08,8.75,12.13,1.63,35.59
Angola,2006,6.5,10,9.38,12.75,2.5,41.13
Angola,2007,7.33,10,10,12.5,2.13,41.96
Angola,2008,8.67,10,10,13.58,1.38,43.63
Angola,2009,9,9.46,10,13.29,2.75,44.5
Angola,2010,8.42,7.75,9.71,13,4.21,43.09
Angola,2011,8,10,9,12.5,3.5,43
Angola,2012,8.29,10,9,13.58,4.5,45.37
Angola,2013,8.46,10,9,13.46,4.75,45.67
Argentina,1984,1.8,1.75,0,10.33,0.42,14.3
Argentina,1985,1.54,1,0.79,10.5,0,13.83
Argentina,1986,2,1,1,10.21,0,14.21
Argentina,1987,2.92,1.92,1.63,9,0,15.47
Argentina,1988,3.33,3,4,9.46,0,19.79
Argentina,1989,3.54,2.17,3.88,8.79,0,18.38
Argentina,1990,2.42,5.75,6.42,11.29,0,25.88
Argentina,1991,4.79,6.17,5.33,10.08,0,26.37
Argentina,1992,6.96,7,6.33,9.71,0,30
Argentina,1993,6.38,6.67,4.67,7.42,0.33,25.47
Argentina,1994,6,7,6.25,7.38,2.75,29.38
Argentina,1995,5.29,7,6.25,8.29,1.38,28.21
Argentina,1996,5.17,7,6,11,1.21,30.38
Argentina,1997,5.17,8,6,11.17,2.92,33.26
Argentina,1998,7.21,10,4.08,8.75,3.5,33.54
Argentina,1999,7.92,10,3.33,8.71,3.5,33.46
Argentina,2000,5.08,10,1.63,8.42,3.5,28.63
Argentina,2001,5,10,1,9.67,3.13,28.8
Argentina,2002,3.5,0.83,1,12.38,0,17.71
Argentina,2003,4,7.42,1,11.5,0,23.92
Argentina,2004,2.13,9.92,3.88,13.5,0,29.43
Argentina,2005,2.5,10,4.75,12.63,2.25,32.13
Argentina,2006,5,9.83,6.75,12.75,3.25,37.58
Argentina,2007,5,10,7,13,2.71,37.71
Argentina,2008,5,9.92,7,13,2.42,37.34
Argentina,2009,5.75,7.29,5.88,12.63,3.13,34.68
Argentina,2010,6.38,9.88,6.58,12.79,3.5,39.13
Argentina,2011,6.5,9.75,8.71,12.5,3.71,41.17
Argentina,2012,6.83,8.79,9,12.08,3.46,40.16
Argentina,2013,6.83,7,9,11.83,3.17,37.83
Armenia,1984,NA,NA,NA,NA,NA,0
Armenia,1985,NA,NA,NA,NA,NA,0
Armenia,1986,NA,NA,NA,NA,NA,0
Armenia,1987,NA,NA,NA,NA,NA,0
Armenia,1988,NA,NA,NA,NA,NA,0
Armenia,1989,NA,NA,NA,NA,NA,0
Armenia,1990,NA,NA,NA,NA,NA,0
Armenia,1991,NA,NA,NA,NA,NA,0
Armenia,1992,NA,NA,NA,NA,NA,0
Armenia,1993,NA,NA,NA,NA,NA,0
Armenia,1994,NA,NA,NA,NA,NA,0
Armenia,1995,NA,NA,NA,NA,NA,0
Armenia,1996,NA,NA,NA,NA,NA,0
Armenia,1997,NA,NA,NA,NA,NA,0
Armenia,1998,NA,9.94,NA,NA,NA,9.94
Armenia,1999,5.5,9.83,8.42,8.42,1.25,33.42
Armenia,2000,6,9.96,8.33,6,1.5,31.79
Armenia,2001,5.71,9.92,7,7,1.5,31.13
Armenia,2002,5.5,9.96,7,7,1.5,30.96
Armenia,2003,5.5,10,7,7,1.5,31
Armenia,2004,5.5,10,7,10.75,1.5,34.75
Armenia,2005,7.5,9.33,9.5,11,1.5,38.83
Armenia,2006,7.5,9.63,9.5,11,1.5,39.13
Armenia,2007,7.96,9.17,9.96,11,1.04,39.13
Armenia,2008,8,9.58,9.67,11.33,1,39.58
Armenia,2009,7.58,6.83,9.5,10.67,1.63,36.21
Armenia,2010,5.75,9.58,9.75,9.5,3,37.58
Armenia,2011,5.25,9.92,10,9.25,3.5,37.92
Armenia,2012,4.67,9.33,9.67,9.33,2.17,35.17
Armenia,2013,4,9.92,9.13,10.04,1.42,34.51
Australia,1984,8.52,8.04,8,10.54,2.83,37.93
Australia,1985,8.33,9,8,9.58,2.42,37.33
Australia,1986,7.75,8,7.79,9.5,2.21,35.25
Australia,1987,7.5,7,7.04,9.21,2.88,33.63
Australia,1988,8,7,7.25,9.75,2.83,34.83
Australia,1989,8.5,7,8,9.71,2.75,35.96
Australia,1990,8.96,8.33,8.29,9.5,2.38,37.46
Australia,1991,9,9,8.17,10,2.92,39.09
Australia,1992,8.88,8.67,8.17,10.54,2.67,38.93
Australia,1993,8,7.42,8,10.88,2,36.3
Australia,1994,8,7,7.92,10.42,2,35.34
Australia,1995,8.33,7,8.08,9.71,1.75,34.87
Australia,1996,8.21,7.67,8,10.21,1.38,35.47
Australia,1997,7.5,8.13,8.58,10.96,1.29,36.46
Australia,1998,6.38,7.33,8.92,10.5,1.5,34.63
Australia,1999,5.21,9.75,8,9.67,1.88,34.51
Australia,2000,5,8.63,9,9.92,1.5,34.05
Australia,2001,5,8.04,9,10.67,1.5,34.21
Australia,2002,5,9.92,9,10.75,1.5,36.17
Australia,2003,5,9.33,9,10.5,2,35.83
Australia,2004,3.75,9.42,9.5,10.25,2.42,35.34
Australia,2005,5,9.92,9.5,9.75,2,36.17
Australia,2006,5,9.92,9.5,9.5,2,35.92
Australia,2007,4.5,9.75,9.5,9.96,1.83,35.54
Australia,2008,3.08,8.38,9.5,10.08,2.33,33.37
Australia,2009,3.21,6.75,8.92,10.42,1.67,30.97
Australia,2010,3,9.29,8.17,11,1.5,32.96
Australia,2011,3,9.58,8.5,11,1.5,33.58
Australia,2012,3,9.92,8.71,11,1.5,34.13
Australia,2013,3,9.13,9,10.79,1.5,33.42
Austria,1984,8.55,9,8,12.33,3.5,41.38
Austria,1985,8.5,9,7.13,12.13,3.46,40.22
Austria,1986,8.13,9,6.67,12.29,3.38,39.47
Austria,1987,8.42,9,5.88,12.25,3.33,38.88
Austria,1988,9,9,5.75,12.29,3.13,39.17
Austria,1989,9,9,6.5,12.25,2.67,39.42
Austria,1990,9,9,6.79,12.42,2.63,39.84
Austria,1991,9,9,7.33,12.54,2.42,40.29
Austria,1992,9.71,9,7.46,12,2.33,40.5
Austria,1993,9.5,9,7.17,12.17,2.38,40.22
Austria,1994,9.5,9,7.25,12.08,2.79,40.62
Austria,1995,9.5,8.08,7.04,12,2.79,39.41
Austria,1996,9.5,8,8.25,11.83,2.54,40.12
Austria,1997,9.5,7.83,10,11.79,2.17,41.29
Austria,1998,9.33,9.58,10,11.88,2.33,43.12
Austria,1999,9.08,9.38,10,12,1.63,42.09
Austria,2000,9.5,7.92,10,11.88,2,41.3
Austria,2001,9.5,9.42,10,11.88,2,42.8
Austria,2002,9.5,9.67,10,12,2,43.17
Austria,2003,9.17,9.25,10,12,1.67,42.09
Austria,2004,9.5,9.79,10,12,1.33,42.62
Austria,2005,9.5,9.79,10,12,1,42.29
Austria,2006,8.5,9.71,10,12.08,1,41.29
Austria,2007,2.5,9.92,10,12.67,1,36.09
Austria,2008,3.5,9.5,10,12.88,0.67,36.55
Austria,2009,5.38,8.71,10,12.5,0.88,37.47
Austria,2010,5.5,8.92,10,12.5,1,37.92
Austria,2011,5.08,9.79,10,12.5,1,38.37
Austria,2012,4.13,9.13,10,12.13,1,36.39
Austria,2013,4,10,10,12.17,1,37.17
Azerbaijan,1984,NA,NA,NA,NA,NA,0
Azerbaijan,1985,NA,NA,NA,NA,NA,0
Azerbaijan,1986,NA,NA,NA,NA,NA,0
Azerbaijan,1987,NA,NA,NA,NA,NA,0
Azerbaijan,1988,NA,NA,NA,NA,NA,0
Azerbaijan,1989,NA,NA,NA,NA,NA,0
Azerbaijan,1990,NA,NA,NA,NA,NA,0
Azerbaijan,1991,NA,NA,NA,NA,NA,0
Azerbaijan,1992,NA,NA,NA,NA,NA,0
Azerbaijan,1993,NA,NA,NA,NA,NA,0
Azerbaijan,1994,NA,NA,NA,NA,NA,0
Azerbaijan,1995,NA,NA,NA,NA,NA,0
Azerbaijan,1996,NA,NA,NA,NA,NA,0
Azerbaijan,1997,NA,NA,NA,NA,NA,0
Azerbaijan,1998,NA,9.56,NA,NA,NA,9.56
Azerbaijan,1999,9,8.79,9.46,0.13,1.13,28.51
Azerbaijan,2000,8.5,8.58,9.5,4,1,31.58
Azerbaijan,2001,8.5,9.88,9.5,9.04,1.33,38.25
Azerbaijan,2002,8.5,10,9.5,10.58,1.5,40.08
Azerbaijan,2003,8.29,10,9.5,9.83,1.5,39.12
Azerbaijan,2004,8,10,9.5,8.71,1.5,37.71
Azerbaijan,2005,8.33,10,9.5,10,1.5,39.33
Azerbaijan,2006,8.75,9.17,9.75,10,1.5,39.17
Azerbaijan,2007,8.88,10,10,10.83,1.5,41.21
Azerbaijan,2008,9.5,10,10,15,1.5,46
Azerbaijan,2009,9.5,10,10,14.5,3.08,47.08
Azerbaijan,2010,9.5,10,10,15,4,48.5
Azerbaijan,2011,9.83,10,10,15,4,48.83
Azerbaijan,2012,9.21,10,10,15,4,48.21
Azerbaijan,2013,9.5,10,10,14.79,4,48.29
Bahamas,1984,NA,NA,NA,NA,NA,0
Bahamas,1985,8,8,9.29,11.92,0.71,37.92
Bahamas,1986,8,8,9.42,12.5,0.96,38.88
Bahamas,1987,8,8,9,12.46,1.5,38.96
Bahamas,1988,8,8,9,12.08,1,38.08
Bahamas,1989,8,8,9,11,1,37
Bahamas,1990,8,8,10,11.25,0.88,38.13
Bahamas,1991,8,8,10,11.17,0.96,38.13
Bahamas,1992,7.96,8,10,11.13,1,38.09
Bahamas,1993,7.5,8,10,11.5,1.29,38.29
Bahamas,1994,7.5,8,8.5,11.58,1.29,36.87
Bahamas,1995,7.5,8,8.13,11.83,1.29,36.75
Bahamas,1996,7.71,8,9.54,11.96,0.92,38.13
Bahamas,1997,8.33,8.67,10,11.5,1.25,39.75
Bahamas,1998,8.25,10,9.63,11.08,1.29,40.25
Bahamas,1999,0,10,9.5,9.92,1.96,31.38
Bahamas,2000,0,10,9.5,9.5,2,31
Bahamas,2001,0,10,9.5,9.5,2,31
Bahamas,2002,0,10,9.5,9.5,2,31
Bahamas,2003,2.71,10,9.5,9.5,2,33.71
Bahamas,2004,6.79,10,9.5,9.5,2,37.79
Bahamas,2005,7,10,9.5,9.38,2,37.88
Bahamas,2006,7,10,9.5,9,2,37.5
Bahamas,2007,9.29,10,9.96,8.54,2,39.79
Bahamas,2008,10,10,10,5,2,37
Bahamas,2009,9.67,10,10,7,2,38.67
Bahamas,2010,9.5,10,10,5.71,1.54,36.75
Bahamas,2011,9.5,10,10,5.5,1.5,36.5
Bahamas,2012,9.13,10,10,7.38,1.88,38.39
Bahamas,2013,9,10,10,8,2,39
Bahrain,1984,6.25,6,NA,NA,NA,12.25
Bahrain,1985,5.79,6,NA,12.75,2.63,27.17
Bahrain,1986,5.5,6,NA,12.08,3.33,26.91
Bahrain,1987,5.5,6,NA,12.46,3.38,27.34
Bahrain,1988,5,6,NA,12.75,2.92,26.67
Bahrain,1989,5,6,NA,11.42,2.79,25.21
Bahrain,1990,5,6,NA,11.75,2.25,25
Bahrain,1991,5.25,5.83,NA,12.92,2.29,26.29
Bahrain,1992,7.5,9,NA,11.54,2.33,30.37
Bahrain,1993,7.5,9,NA,11.71,2.58,30.79
Bahrain,1994,7.5,9,NA,11.25,2.38,30.13
Bahrain,1995,7.5,9,NA,10.83,2.58,29.91
Bahrain,1996,7.17,8.33,8.13,12.42,2.42,38.47
Bahrain,1997,8,8.67,8.5,13,2.13,40.3
Bahrain,1998,10,10,8.5,13,1.92,43.42
Bahrain,1999,10,10,8.5,12.17,2,42.67
Bahrain,2000,10,10,8.5,11.5,2.5,42.5
Bahrain,2001,10,10,9,12,2.83,43.83
Bahrain,2002,10,10,9,12,3,44
Bahrain,2003,10,10,9,12,3,44
Bahrain,2004,10,10,9,12,3,44
Bahrain,2005,10,10,9,12.5,2,43.5
Bahrain,2006,10,10,9,12.5,2,43.5
Bahrain,2007,10,10,9,12.5,2,43.5
Bahrain,2008,7.5,10,9,14.17,1.58,42.25
Bahrain,2009,6.42,10,9,13.63,2.67,41.72
Bahrain,2010,5.92,10,9,13.29,3.5,41.71
Bahrain,2011,5.5,10,9,12.5,3.5,40.5
Bahrain,2012,3.63,10,9.21,12.5,3.29,38.63
Bahrain,2013,0.67,10,9.5,12.83,2.67,35.67
Bangladesh,1984,4.36,4,8.67,9.17,0,26.2
Bangladesh,1985,4,4,9,10,0,27
Bangladesh,1986,3.75,4,8.63,9.88,0,26.26
Bangladesh,1987,3.42,3.42,8.04,8.79,0,23.67
Bangladesh,1988,2.67,1.67,7.75,9.25,0,21.34
Bangladesh,1989,2.75,1.17,8.5,10.46,0,22.88
Bangladesh,1990,2.96,2.08,8.5,9.33,0,22.87
Bangladesh,1991,3.71,2.67,8.33,8.71,0,23.42
Bangladesh,1992,4.88,4,7.67,10.83,0,27.38
Bangladesh,1993,4.63,4,8.5,11.88,0.25,29.26
Bangladesh,1994,5,4,8.5,12.71,2.04,32.25
Bangladesh,1995,5,4,8.75,12.58,2.33,32.66
Bangladesh,1996,5.13,4,8.5,11.92,1.21,30.76
Bangladesh,1997,5.33,5.88,9,11,1.42,32.63
Bangladesh,1998,6.17,9.46,9,11,1,36.63
Bangladesh,1999,5.46,9.88,9,11.92,1.17,37.43
Bangladesh,2000,5.5,9.38,8,12,1,35.88
Bangladesh,2001,5.5,9.38,8,11.79,1,35.67
Bangladesh,2002,5,9.79,8,11.42,1,35.21
Bangladesh,2003,7,10,8.92,12.21,1.33,39.46
Bangladesh,2004,6.96,10,9.46,12.5,1.96,40.88
Bangladesh,2005,7.25,9.13,9.5,12.04,2,39.92
Bangladesh,2006,6.54,9.46,9.5,12.13,1.88,39.51
Bangladesh,2007,6.83,10,9.83,12.17,1.17,40
Bangladesh,2008,7,10,10,12,1,40
Bangladesh,2009,7.29,10,10,12,1.58,40.87
Bangladesh,2010,7.5,10,10,12.54,2.46,42.5
Bangladesh,2011,7.71,9.42,9.71,12.71,2.71,42.26
Bangladesh,2012,7.71,8.79,9.5,12.25,2.25,40.5
Bangladesh,2013,7.29,10,9.5,12.29,1.88,40.96
Belarus,1984,NA,NA,NA,NA,NA,0
Belarus,1985,NA,NA,NA,NA,NA,0
Belarus,1986,NA,NA,NA,NA,NA,0
Belarus,1987,NA,NA,NA,NA,NA,0
Belarus,1988,NA,NA,NA,NA,NA,0
Belarus,1989,NA,NA,NA,NA,NA,0
Belarus,1990,NA,NA,NA,NA,NA,0
Belarus,1991,NA,NA,NA,NA,NA,0
Belarus,1992,NA,NA,NA,NA,NA,0
Belarus,1993,NA,NA,NA,NA,NA,0
Belarus,1994,NA,NA,NA,NA,NA,0
Belarus,1995,NA,NA,NA,NA,NA,0
Belarus,1996,NA,NA,NA,NA,NA,0
Belarus,1997,NA,NA,NA,NA,NA,0
Belarus,1998,NA,0.56,8,11.5,0,20.06
Belarus,1999,9.29,1.17,8,11.33,0,29.79
Belarus,2000,9.5,4.83,8,11,0,33.33
Belarus,2001,9,4.71,8,11,0,32.71
Belarus,2002,8.5,5.54,8,11,0,33.04
Belarus,2003,9.17,8.04,8.67,11,0,36.88
Belarus,2004,9.5,9.58,9,11,0,39.08
Belarus,2005,9.5,10,9,12,0,40.5
Belarus,2006,9.5,10,9,12,0,40.5
Belarus,2007,9.5,10,9,12,0,40.5
Belarus,2008,8.67,10,8.58,11.58,0.42,39.25
Belarus,2009,7.08,5.46,7.79,11.21,0.79,32.33
Belarus,2010,6.08,9.46,7.5,10.88,0.92,34.84
Belarus,2011,5.17,4.75,7.83,9.67,1.17,28.59
Belarus,2012,4.63,4.08,9.5,10.63,0.25,29.09
Belarus,2013,4.5,9.58,10,11.21,0,35.29
Belgium,1984,8.14,7.17,5.96,12,2.08,35.35
Belgium,1985,8,7.17,5.5,12.5,2,35.17
Belgium,1986,8,8,5.5,12.5,2,36
Belgium,1987,8.83,8,5.13,12.5,1.96,36.42
Belgium,1988,9,8,5.17,12.5,1.83,36.5
Belgium,1989,9,8,6,12.5,1.67,37.17
Belgium,1990,8.75,8,6.29,12.5,1.5,37.04
Belgium,1991,8.5,8,6.17,12.67,1.38,36.72
Belgium,1992,8.96,9,7.13,12.5,1.42,39.01
Belgium,1993,8.5,9,7.17,12.5,1.29,38.46
Belgium,1994,8.71,9,7.5,12.58,1.42,39.21
Belgium,1995,9.08,9,7.5,13,1.5,40.08
Belgium,1996,9.5,9,8.04,12.96,1.42,40.92
Belgium,1997,9.33,8.5,7.63,13,0.92,39.38
Belgium,1998,8.92,9.58,7.5,12.92,1,39.92
Belgium,1999,8.5,9.38,7.5,12.5,0.5,38.38
Belgium,2000,8.5,7.79,7.5,12.5,0.5,36.79
Belgium,2001,8.5,9.42,7.5,12.5,0.96,38.88
Belgium,2002,8.5,9.71,7.5,12.5,1,39.21
Belgium,2003,8.5,9.25,8.96,12.5,0.88,40.09
Belgium,2004,8.5,9.79,10,12.5,0.58,41.37
Belgium,2005,8.5,9.79,10,12.5,0.5,41.29
Belgium,2006,7.88,9.67,10,12.5,0.5,40.55
Belgium,2007,8,9.92,10,12.5,0.5,40.92
Belgium,2008,8,9.5,10,12.33,0.5,40.33
Belgium,2009,8,8.67,10,12,0.5,39.17
Belgium,2010,7.75,8.92,10,12.25,0.5,39.42
Belgium,2011,6.04,9.79,10,12.5,0.5,38.83
Belgium,2012,3.79,9.13,10,12.08,0.5,35.5
Belgium,2013,3.5,10,10,12,0.5,36
Bolivia,1984,1.8,1.92,4.96,9.63,0,18.31
Bolivia,1985,1.38,1,7,10.08,0,19.46
Bolivia,1986,1.25,1,7,11.38,0,20.63
Bolivia,1987,1.71,2.08,7,6.17,0,16.96
Bolivia,1988,3.21,5.5,6.58,5.29,0,20.58
Bolivia,1989,4,6,7,6.13,0,23.13
Bolivia,1990,4.75,6.08,5.67,7.67,0,24.17
Bolivia,1991,6.38,7.83,6.67,10.67,0.42,31.97
Bolivia,1992,6.88,7.83,5.79,10.13,0.88,31.51
Bolivia,1993,6,7.17,5.17,7.17,1.21,26.72
Bolivia,1994,6,7,5.83,7.29,1.92,28.04
Bolivia,1995,6,7,5.63,9.04,3.13,30.8
Bolivia,1996,6.38,7,5.88,9.29,3.33,31.88
Bolivia,1997,6,8,5.5,9.21,2.75,31.46
Bolivia,1998,4.33,9.75,7.04,10.58,3.58,35.28
Bolivia,1999,5.08,9.83,7.5,8.29,3.17,33.87
Bolivia,2000,6,9.58,7.5,8.5,3,34.58
Bolivia,2001,6,9.46,7.5,9,2.79,34.75
Bolivia,2002,6,9.13,7.5,9.25,2.5,34.38
Bolivia,2003,5.75,9.42,8.63,10.5,2.5,36.8
Bolivia,2004,4.92,10,8.5,11.38,2.63,37.43
Bolivia,2005,4.71,10,8.92,12.75,2.75,39.13
Bolivia,2006,4.83,10,8.5,12.96,3.67,39.96
Bolivia,2007,4.25,10,8.92,13.46,3.58,40.21
Bolivia,2008,6.25,10,9.29,14.46,3.08,43.08
Bolivia,2009,7.25,10,9.17,12.71,4.83,43.96
Bolivia,2010,7.17,10,9.83,12.83,5,44.83
Bolivia,2011,7,10,10,13,5,45
Bolivia,2012,7.58,10,9.79,13.25,5,45.62
Bolivia,2013,7.67,10,10,13,5,45.67
Botswana,1984,NA,NA,NA,NA,NA,0
Botswana,1985,5.17,5.67,9.63,11.67,3.96,36.1
Botswana,1986,4.83,5,10,12.88,4.79,37.5
Botswana,1987,5.17,5,9.54,13.96,5,38.67
Botswana,1988,5.63,5.5,9.67,14.13,5,39.93
Botswana,1989,6.29,6,9.5,14.54,5,41.33
Botswana,1990,6.54,6,10,13.96,5,41.5
Botswana,1991,7,6,10,13.33,5,41.33
Botswana,1992,7.33,6,10,12.96,5,41.29
Botswana,1993,7.63,6,10,12.33,5,40.96
Botswana,1994,7.5,6,10,12.75,5,41.25
Botswana,1995,7.5,7,10,13.21,5,42.71
Botswana,1996,8.04,7,10,13.58,5,43.62
Botswana,1997,8.29,7.92,10,13.5,5,44.71
Botswana,1998,7.5,7.88,10,13.17,5,43.55
Botswana,1999,7.46,8.42,10,14.25,5,45.13
Botswana,2000,7.5,8.75,10,13.54,5,44.79
Botswana,2001,7.5,8.08,10,12.5,5,43.08
Botswana,2002,7.5,8.04,10,12.63,5,43.17
Botswana,2003,7.5,8.75,10,13.21,5,44.46
Botswana,2004,9.17,9.83,10,13.21,5,47.21
Botswana,2005,9.5,8.46,10,13.5,5,46.46
Botswana,2006,9.5,8.13,10,13.88,5,46.51
Botswana,2007,9.67,9.17,10,14.33,5,48.17
Botswana,2008,10,8.42,10,14.75,5,48.17
Botswana,2009,10,8.46,10,14.42,5,47.88
Botswana,2010,9.67,9.88,10,13,5,47.55
Botswana,2011,8.63,9.42,8.88,12,5,43.93
Botswana,2012,8.63,9.04,8.25,12.13,4.75,42.8
Botswana,2013,9,8.58,8.88,13,5,44.46
Brazil,1984,3.84,3.17,3.75,10.42,0,21.18
Brazil,1985,4.33,3,4.25,10.83,0,22.41
Brazil,1986,4,3,5.25,12.42,0,24.67
Brazil,1987,3.83,3.75,6.04,11.54,0,25.16
Brazil,1988,6.13,4.42,4.75,11.92,0,27.22
Brazil,1989,5.42,4.5,6.21,12.42,0,28.55
Brazil,1990,5,5.33,5.75,12.25,0,28.33
Brazil,1991,6.08,7.08,7,11.96,0,32.12
Brazil,1992,7.08,8,8,11.63,0,34.71
Brazil,1993,5.63,7.17,7.17,12.75,0.67,33.39
Brazil,1994,5.83,7,7.5,12.54,4.17,37.04
Brazil,1995,5.04,6.75,7.54,10.21,4.13,33.67
Brazil,1996,5,6,7.75,9.5,4.13,32.38
Brazil,1997,5.83,7.13,6.75,8.92,4.17,32.8
Brazil,1998,7.96,9.46,3.96,7.42,4.04,32.84
Brazil,1999,7.21,3.83,3.5,8.42,3.42,26.38
Brazil,2000,6.5,9.92,3.5,8.04,3.5,31.46
Brazil,2001,6.21,5.88,3.5,8.83,3.33,27.75
Brazil,2002,5,7.38,3.5,9.42,3.5,28.8
Brazil,2003,5,6.92,3.5,11.08,1.83,28.33
Brazil,2004,5.83,9.54,3.33,12.42,1.92,33.04
Brazil,2005,6.42,9.13,4.75,12.75,2.58,35.63
Brazil,2006,7.88,9.75,5.92,13,1.88,38.43
Brazil,2007,8.29,9.58,6.71,13,1.29,38.87
Brazil,2008,8.46,8.21,7.46,11.88,0.79,36.8
Brazil,2009,8.5,6.79,8.13,11.29,1.71,36.42
Brazil,2010,8.5,9.63,8.54,11.83,4.63,43.13
Brazil,2011,8.67,9.63,8,9.83,5,41.13
Brazil,2012,8.54,7.63,8,10,5,39.17
Brazil,2013,8.5,8.79,8.25,9.79,4.79,40.12
Brunei,1984,9.44,9.88,NA,NA,NA,19.32
Brunei,1985,9.5,10,NA,NA,NA,19.5
Brunei,1986,9.25,10,NA,NA,NA,19.25
Brunei,1987,9,10,NA,NA,NA,19
Brunei,1988,9,10,NA,NA,NA,19
Brunei,1989,9,10,NA,NA,NA,19
Brunei,1990,9.17,10,NA,NA,NA,19.17
Brunei,1991,9.5,10,NA,NA,NA,19.5
Brunei,1992,9.5,10,NA,NA,NA,19.5
Brunei,1993,9.5,10,NA,NA,NA,19.5
Brunei,1994,9.5,8.33,NA,NA,NA,17.83
Brunei,1995,9.5,8,NA,NA,NA,17.5
